State,www.ceaa-acee.gc.ca,www.plainsmidstream.com,www.cepa.com,www.energy.ca,pm.gc.ca,www.capp.ca,www.greenpeace.org,www.youtube.com,npa.gc.ca,accounts.google.com,m.youtube.com,youtu.be,i.ytimg.com,s.youtube.com,i1.ytimg.com,www.neb-one.gc.ca,plus.google.com,www.cnrl.com,www.facebook.com,apis.google.com,other
13/03,38103,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,12
13/04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13/06,12770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13/11,0,4,2467,0,0,0,0,40,0,0,0,1,0,0,0,4,0,0,0,0,55
14/02,0,4,2652,0,0,0,168,40,0,0,0,1,0,0,0,0,0,0,0,0,20
14/05,0,23131,3117,0,10079,1733,162,382,0,46,43,45,0,0,39,0,4,0,0,1,77
14/08,0,23683,3446,23663,0,1550,212,547,0,47,77,45,33,0,0,5,3,2,0,3,104
14/11,0,2,3547,0,0,1410,131,498,0,84,46,50,37,0,0,4,2,2,0,0,91
15/02,0,1,3945,0,0,1576,282,722,0,80,86,50,37,49,0,5,4,2,3,2,108
15/05,0,1,2414,0,0,315,840,91,0,1,0,1,0,0,0,0,1,2,2,2,77
15/08,0,1,4652,0,0,511,826,233,0,1,0,1,0,0,0,2,0,2,3,2,259
15/09,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
15/11,0,1,4203,0,0,369,873,238,0,1,0,0,0,0,0,0,0,2,4,2,106
16/02,0,1,4452,0,0,377,808,244,0,1,0,0,0,0,0,2,0,2,2,2,97
