State,www.programs.alberta.ca,www.srd.alberta.ca,www.chr.alberta.ca,film.alberta.ca,srd.alberta.ca,www.nait.ca,www.youtube.com,www.grouperegenord.com,www.ucalgary.ca,www.windstream.net,www.lieutenantgovernor.ab.ca,www.mediacomtoday.com,www.ic.gc.ca,www.pbo-dpb.gc.ca,www.flickr.com,www.assembly.ab.ca,specialareas.ab.ca,www.agric.gov.ab.ca,www.oag.ab.ca,www.wix.com,other
11/10,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,781
11/12,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15839
12/01,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7728
12/02,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4218
12/03,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7867
12/04,109091,153392,125333,0,22,0,992,0,0,0,3777,0,0,0,8,5818,85,38708,241,0,413850
12/09,88144,394551,95777,415536,1,0,624,0,0,0,293,0,0,0,3,1969,104,14266,32,0,117293
12/10,0,150299,0,144960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16351
13/02,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,96610
13/03,85058,91,97635,74,243047,0,699,0,0,72,420,61,0,0,3,3049,74,11836,202,0,171533
13/04,0,0,0,0,34916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877
13/06,0,0,0,0,0,0,16,0,0,0,0,0,7,0,39,0,0,0,0,0,102609
13/07,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,6687
13/09,84738,142,111129,64,128819,0,1862,0,0,71,69,65,0,0,6,3764,61,23505,29,0,141982
13/10,0,0,0,0,56678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123
13/12,0,0,0,0,0,0,58,0,0,0,0,0,34162,0,0,0,0,0,0,0,11612
14/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21135
14/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
14/03,84567,3,3557,80,0,0,3261,0,1,56,282,68,0,9549,11,14350,61,18888,39303,0,127335
14/04,0,0,0,0,0,0,12,0,0,0,0,0,0,37951,0,0,0,0,5134,0,1222
14/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600
14/06,0,0,0,0,0,0,1677,134253,0,0,0,0,61457,0,9,0,0,0,0,135111,976540
14/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4296
14/09,107993,7,3479,1,0,0,5001,0,2,261883,39,78026,0,39950,16,31557,63,6561,35900,0,325931
14/10,22508,0,0,0,2,0,28,0,0,0,0,28930,0,14492,0,0,0,3712,13542,0,54556
14/11,0,0,0,0,0,1,15776,156934,1,2255,0,0,64304,8172,25,0,0,0,0,1,1103076
14/12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,37376
15/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
15/02,0,0,0,0,0,0,13,0,0,0,0,0,38506,0,0,0,0,0,0,0,49610
15/03,139469,0,64998,0,0,0,8579,0,1,7164,421,82550,0,38377,23,35168,939,17385,38667,0,443964
15/04,23341,0,0,0,0,229181,3080,0,177912,887,2,13402,0,6065,177282,1,0,4,6027,0,343050
15/05,0,0,0,0,0,169608,0,0,99391,0,0,0,0,0,0,0,0,0,0,0,8999
15/09,57142,0,29931,0,0,0,93615,0,1,0,63,0,0,17021,45,36490,1246,1746,535,0,158552
15/10,29617,0,0,0,0,0,33938,0,0,0,0,0,0,6492,0,0,35,1,0,0,7800
16/03,143211,0,51622,0,0,0,148797,0,1,0,203481,0,0,2166,21,36846,146000,27424,506,0,189477
16/04,209,0,0,0,0,0,23741,0,0,0,25375,0,0,0,0,0,19385,0,0,0,209
