State,www.facebook.com,maps.google.com,en.wikipedia.org,www.google.com,www.youtube.com,www.mlive.com,indiancountrytodaymedianetwork.com,www.huffingtonpost.ca,m.youtube.com,idlenomore.ca,news.google.com,idlenomore.tumblr.com,www.huffingtonpost.com,twitter.com,www.mequilibrium.com,www.afn.ca,www.pm.gc.ca,sxsw.com,accounts.google.com,login.yahoo.com,other
13/01,162734,1201002,140281,569990,273775,115106,74821,7156,60422,66560,8,15031,290,23388,0,5935,76775,0,30811,3,331829
13/02,1081264,253,781404,6255,128650,38871,116793,92770,129500,26705,2133,27370,40295,48389,48212,14348,26159,87055,26458,41904,1162571
13/03,51778,283,218,116403,13384,139814,36525,77578,14825,35351,130921,29969,26601,8022,60962,19407,5,0,1869,5199,126838
13/04,48028,235,127,69126,10649,2,11665,23632,18919,21221,58335,28271,21872,10016,0,35145,0,0,1527,2,79446
13/05,58961,190,181,1046,11480,0,13237,20864,60,36854,1684,49335,38150,23043,0,19659,0,0,1027,0,106340
13/06,26535,100,52,535,4587,0,5410,6899,27,18416,909,21217,8941,1975,0,10238,0,0,516,0,40173
13/07,3900,30,1,140,154,0,29,18,4,0,282,0,2,366,0,0,0,0,123,0,2317
13/08,4806,40,2,178,164,0,1,51,5,0,314,0,8,205,0,0,0,0,154,0,2476
13/09,3853,35,0,126,126,0,21,43,4,0,249,0,15,42,0,0,0,0,149,0,2937
13/10,1930,18,0,62,56,0,29,3,2,0,138,0,0,22,0,0,0,0,65,0,1347
