State,www.ualbertablog.ca,steele.library.ualberta.ca,www.bionmr.ualberta.ca,uofa.ualberta.ca,www.biology.ualberta.ca,www.extension.ualberta.ca,peel.library.ualberta.ca,www.flickr.com,www.ualberta.ca,ejournals.library.ualberta.ca,www.library.ualberta.ca,www.csj.ualberta.ca,www.uofaweb.ualberta.ca,easweb.eas.ualberta.ca,exhibits.library.ualberta.ca,www.business.ualberta.ca,change.ualberta.ca,sites.google.com,blogs.library.ualberta.ca,www.wchri.org,other
11/02,0,0,7,0,3,0,0,1,9,0,2,3,2,0,0,2,0,0,0,0,912
11/07,0,0,0,0,0,0,0,0,39,0,1,0,15,0,0,6115,0,4,0,0,7059
11/08,0,0,0,0,0,0,0,0,70,0,1,0,3,0,0,0,0,0,0,0,287
11/09,0,921,0,0,0,0,20115,0,58,26907,19099,0,5,0,26390,0,0,0,17876,0,68481
11/10,2,0,0,0,58653,0,132958,1,47,78455,3475,1,3,0,25083,7704,0,0,3178,0,22178
11/11,4,0,970,0,0,0,0,1,38,0,12913,0,37279,0,0,0,0,0,0,0,12192
11/12,4,0,0,0,12092,0,0,0,154,0,1,8541,3,0,0,2342,0,0,0,0,38715
12/01,5,454,0,0,3019,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6760
12/02,4,914,0,0,24087,0,0,0,6,0,1,0,4,0,0,0,0,0,17294,0,14986
12/03,6,475,0,0,10949,0,1,0,27,0,3,0,47891,0,11039,2227,0,0,0,0,15536
12/04,4,473,0,0,16441,0,0,0,2,0,0,0,1,12078,0,4306,0,0,0,0,6976
12/05,5,475,0,0,3520,0,0,0,7,0,0,0,0,6765,0,1996,0,18,0,0,11486
12/06,4,212400,0,0,9386,0,0,0,5,0,0,0,0,11294,0,4197,0,0,0,0,8246
12/07,5,195776,0,0,10671,0,0,0,2,0,0,0,0,6354,0,3395,0,0,0,0,7793
12/08,4,198313,0,0,16673,0,0,0,2,0,0,0,0,6194,0,3514,0,1,0,0,9018
12/09,4,192683,0,0,4061,0,1,0,2,0,14233,0,0,6935,0,3810,0,0,0,0,10016
12/10,5,0,0,0,16564,0,0,0,2,0,1356,9071,0,11717,0,3597,0,0,0,0,8432
12/11,4,0,0,0,16920,0,0,0,2,0,3965,209,0,0,0,4494,0,0,0,0,8802
12/12,4,0,0,0,17696,0,0,0,2,0,13254,8208,0,0,0,2081,0,0,0,0,10700
13/01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
13/04,2817,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,42,0,0,0,2484
13/05,8148,0,0,5,0,0,0,1,281,0,2,31511,2,0,0,2195,177,8,0,0,19818
13/06,6761,0,0,4,0,0,1,1,34077,0,0,25435,12,2,0,0,105,3,0,0,5254
13/07,7048,0,0,4,11701,0,0,0,9,0,0,0,0,11360,0,0,131,12,0,0,9271
13/08,10333,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,138,0,0,0,2592
13/09,9826,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,105,0,0,0,2256
13/10,10429,0,0,4,0,0,0,0,618,0,7218,0,1,1,0,0,108,4,0,0,14496
13/11,13606,0,0,5,1,0,0,0,88,0,0,0,2,0,1601,0,152,0,0,0,12653
13/12,12100,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,144,0,0,0,3438
14/01,11355,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,186,0,0,0,2918
14/02,9976,0,0,3,0,0,0,109531,5,0,0,0,0,0,0,0,142,0,0,0,3097
14/03,13170,0,0,6,0,0,0,984,5,0,0,0,0,0,0,0,167,0,0,0,2100
14/04,12560,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,242,0,0,0,2282
14/05,15812,0,0,25,0,0,0,870,5,0,0,0,1,0,0,0,319,0,0,0,3574
14/06,13151,0,0,89,0,0,0,874,4,0,0,0,0,0,0,0,662,0,0,0,2817
14/07,13149,0,0,148,0,0,0,0,4,0,0,0,0,0,0,0,541,0,0,0,642
14/08,16393,0,0,187,0,0,0,0,7,0,0,0,0,0,0,0,138,0,0,0,640
14/09,12343,0,0,162,0,0,0,0,4,0,0,0,0,0,0,0,721,7444,0,0,5097
14/10,16712,0,0,205,0,0,0,0,7,0,0,0,0,0,0,0,1533,0,0,0,2076
14/11,14268,0,0,158,0,0,0,0,4,0,0,0,0,0,0,0,818,0,0,0,430
14/12,13700,0,0,162,0,0,0,0,4,0,0,0,0,0,0,0,785,0,0,0,752
15/01,16630,0,0,6260,0,2,0,5,6,0,0,0,0,0,0,0,1639,0,0,0,972
15/02,14076,0,0,6307,0,0,0,984,6,0,0,0,0,0,0,0,1471,0,0,0,1162
15/03,14674,24,27928,20793,0,10102,0,979,8,1,0,0,1,1,0,0,1834,10833,0,0,26798
15/04,15286,0,0,4317,0,0,0,0,5,0,0,0,0,0,0,0,1407,0,0,0,686
15/05,20984,0,0,5853,0,0,0,0,6,0,0,0,0,0,0,0,2040,0,0,0,963
15/06,16211,0,0,3949,0,0,0,0,5,0,0,0,0,0,0,0,1837,0,0,0,790
15/07,20446,7,174736,67791,23573,145607,4,997,44827,5,12272,8573,15,11693,8,5,2358,10826,0,10,87427
15/08,16318,0,0,4438,0,0,0,976,6,0,0,0,0,0,0,0,2731,0,0,0,3135
