State,www.dfo-mpo.gc.ca,www.crtc.gc.ca,www.meds-sdmm.dfo-mpo.gc.ca,www.publications.gc.ca,scf.rncan.gc.ca,nofc.cfs.nrcan.gc.ca,fire.cfs.nrcan.gc.ca,www.cfs.nrcan.gc.ca,www.cbsa-asfc.gc.ca,www.sararegistry.gc.ca,isdm.gc.ca,www.pac.dfo-mpo.gc.ca,dfo-mpo.gc.ca,www.nrcan.gc.ca,geogratis.gc.ca,www.rncan.gc.ca,www.qc.dfo-mpo.gc.ca,www.nfl.dfo-mpo.gc.ca,www.tides.gc.ca,www.inter.dfo-mpo.gc.ca,other
13/07,81561,130654,52,0,0,0,0,0,12764,0,22,17,0,0,0,0,1,0,0,0,417
13/08,0,36314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
13/11,125050,57017,49328,0,0,0,0,0,4173,0,22,6866,0,1,2,1,0,0,0,0,3120
13/12,218,0,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,3337,1167,0,681,50
14/07,8070,13,4452,0,0,0,0,0,7995,0,3,4428,0,1,0,1,15,2252,0,2,1931
14/08,137378,0,36339,0,0,0,0,0,0,0,1,40,0,0,0,0,0,4,0,0,1342
14/09,0,0,0,0,0,0,0,0,0,22688,0,0,0,0,0,0,0,0,0,0,1
15/05,21610,0,30,0,0,0,0,0,0,1,22,12,0,7,0,7,0,0,0,0,454
16/10,882,0,1090,236,6042,4636,3176,0,0,19,996,1100,885,1154,2540,1253,1958,18,3488,140,14878
16/11,1403,0,2000,91860,61972,56718,56761,55266,0,56,15216,3063,10428,9463,7360,8412,2795,2444,1702,4320,20352
