State,www.policyalternatives.ca,www.equalvoice.ca,www.liberal.ca,greenparty.ca,www.ndp.ca,westernblockparty.com,www.davidsuzuki.org,www.canadians.org,www.egale.ca,www.greenparty.ca,www.fairvotecanada.org,www.fairvote.ca,www.conservative.ca,canadianactionparty.ca,www.afn.ca,communist-party.ca,ccla.org,www.socialist.ca,www.chp.ca,www.ccsd.ca,other
05/10,0,0,14,183732,6,338418,0,0,0,0,0,0,74319,402,0,1091,0,0,140,0,35445
05/11,0,0,6,97527,3,114455,0,0,0,0,0,0,29990,174,0,468,0,0,61,0,15183
06/02,0,0,0,909,89038,11948,0,0,0,1,0,0,1195,204,0,162,0,0,20,0,4811
06/03,86520,215,2,388,97297,12427,2755,40706,12684,1,14588,0,1530,204,2829,164,0,1544,20,2833,12049
06/04,86295,216,0,897,95710,12685,3032,42685,12710,1,14874,0,1590,217,2804,51990,0,1551,20,2851,11239
06/05,73296,218,0,818,2796,13041,3023,31082,12767,1,2,0,1879,221,2965,20993,0,1568,20,2833,10945
06/06,89754,221,0,884,2889,13347,3046,42099,12896,1,2,0,2205,239,3004,21258,0,1568,20,2834,10660
06/07,87969,221,0,817,2845,13632,3079,43125,12966,1,2,0,2256,254,3019,21257,0,1598,21,2832,10783
06/08,72785,604,52,804,2745,12813,3073,39165,12966,1,2,0,2217,260,3068,21259,0,1598,16,2832,14431
06/09,43553,606,49,875,2887,25,3126,35843,13017,1,2,0,2828,284,3092,21260,0,1643,17,2834,14562
06/10,41986,609,40,41370,3081,25,3159,31062,13033,1,2,0,3552,313,3177,21292,0,1664,16,2849,14826
06/11,94090,629,29,3,3269,25,3164,1193,13048,35733,2,0,3841,282,3479,171,0,1664,16,2854,15099
06/12,95551,633,20,2,3509,25,3213,1192,13050,47531,27300,0,3718,1,3541,165,0,1727,1,2859,14891
07/01,96298,657,22,3,3558,25,3217,1211,13041,50455,26936,0,3585,1,3504,166,0,1727,1,2859,15736
07/02,90,858,5536,120648,3507,25,5611,1267,13046,4,27003,0,3922,1,3558,167,0,32,1,2915,10916
07/03,88,1046,5612,107014,3740,25,10236,1332,13086,6,31370,0,3345,1,3795,170,0,32,1,2915,10431
