State,bcgenesis.uvic.ca,orchive.cs.uvic.ca,internetshakespeare.uvic.ca,www.canadianmysteries.ca,mapoflondon.uvic.ca,web.uvic.ca,myndir.uvic.ca,fr.wikipedia.org,www.facebook.com,worldofmaryswedding.library.uvic.ca,mariage.uvic.ca,www.oxforddnb.com,en.wikipedia.org,hcmc.uvic.ca,www.centralcoastbiodiversity.org,www.tumblr.com,www.british-history.ac.uk,negotiatingcitizenship.uvic.ca,vihistory.uvic.ca,chinatown.library.uvic.ca,other
14/02,0,0,8,0,1530,3,0,0,5,0,0,454,71,5,0,0,74,0,0,0,817
14/03,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
14/04,0,0,8,0,1105,2,1506,0,5,0,0,32,76,0,0,0,76,0,0,0,486
14/05,0,0,0,0,0,0,0,335,0,0,622,0,82,0,0,0,1,0,0,0,205
14/08,80870,0,32349,17169,4440,3789,2025,132,1500,0,342,46,181,33,0,586,92,0,0,0,1931
14/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
14/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
15/02,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0
15/08,0,60111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,20
15/09,0,0,8,0,1731,5,0,0,14,0,0,409,343,3,0,0,118,0,362,0,1110
15/10,1,0,0,0,1831,0,0,1125,3,0,0,0,132,843,0,0,80,372,0,0,904
16/02,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
16/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0,0,0,0,123
16/06,3,4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,172
