State,www.bbc.com,www.bbc.co.uk,www.winnipegfreepress.com,ssl.bbc.co.uk,bbc.co.uk,www.macleans.ca,ichef.bbci.co.uk,www.1winnipeg.ca,www.youtube.com,www.cbc.ca,www.huffingtonpost.ca,www.thestar.com,metronews.ca,store.winnipegfreepress.com,homes.winnipegfreepress.com,static.bbci.co.uk,downloads.bbc.co.uk,www.huffingtonpost.com,www.facebook.com,cm.g.doubleclick.net,other
15/03,121433,29873,356,2,6,899,9,214,101,234,274,218,234,109,0,95,82,46,35,30,537
15/04,0,0,0,0,0,0,0,7,52,0,0,0,0,0,0,0,0,0,0,0,1
15/05,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,3
15/06,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3
15/10,0,0,0,0,0,0,0,328,8,0,0,0,0,0,0,0,0,0,0,0,9
15/11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9
15/12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7
16/01,116577,8082,18007,5687,5583,1061,1903,232,177,156,133,44,9,101,194,43,0,23,28,32,915
16/02,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
16/03,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
16/04,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,8
16/05,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13
16/06,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,9
16/07,0,0,0,0,0,0,0,0,8,29,0,0,0,0,0,0,0,0,0,0,17
16/08,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16
16/09,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12
16/10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12
16/11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
